mass	C_12	C_13	C_14	N_14	N_15	Mg_24	Mg_25	Mg_26	Mg_27	Al_26	Al_27	Si_28	Si_29	Si_30	Si_32	S_32	S_33	S_34	Ca_40	Ar_44	K_44	Ca_44	Sc_46	Ti_46	Ca_47	Sc_47	Ti_47	Sc_48	Ti_48	Ca_49	Sc_49	Ti_49	Ca_50	Sc_50	Ti_50	12C/13C	14N/15N	d29Si	d30Si	d33S	d34S	d25Mg	26Al/27Al	d44Ca	d46Ti	d47Ti	d49Ti	d50Ti
0.00632521	9.67E-09	9.26E-14	7.46E-15	5.98E-14	3.78E-14	2.69E-07	2.53E-09	7.07E-09	3.29E-12	1.12E-12	1.46E-08	6.78E-05	8.97E-06	0.000165373	1.87E-08	1.15E-05	3.87E-06	0.000420275	6.09E-08	1.35E-19	8.27E-14	2.28E-06	4.62E-08	4.70E-06	3.45E-10	5.68E-07	6.17E-06	2.29E-08	0.0014287	1.10E-15	6.25E-08	7.95E-05	0	1.66E-12	0.00169142	113159	2	3	68	41	759	0.071	0.503	1582.385	0.03	0.05	0.743	16
0.0086146	9.56E-09	9.09E-14	7.33E-15	5.89E-14	3.71E-14	2.68E-07	2.51E-09	7.02E-09	3.25E-12	1.11E-12	1.45E-08	6.77E-05	8.94E-06	0.000164981	1.86E-08	1.15E-05	3.86E-06	0.000419636	6.08E-08	1.32E-19	8.14E-14	2.27E-06	4.59E-08	4.69E-06	3.41E-10	5.64E-07	6.15E-06	2.27E-08	0.00142577	1.08E-15	6.20E-08	7.91E-05	0	1.64E-12	0.00168567	113911	2	3	68	41	759	0.071	0.503	1578.367	0.03	0.05	0.741	16
0.0119233	9.42E-09	8.88E-14	7.16E-15	5.77E-14	3.62E-14	2.66E-07	2.48E-09	6.95E-09	3.20E-12	1.09E-12	1.44E-08	6.76E-05	8.89E-06	0.000164436	1.84E-08	1.15E-05	3.84E-06	0.000418745	6.06E-08	1.29E-19	7.98E-14	2.25E-06	4.54E-08	4.68E-06	3.36E-10	5.59E-07	6.12E-06	2.24E-08	0.00142177	1.05E-15	6.12E-08	7.86E-05	0	1.61E-12	0.00167772	114882	2	2	68	41	759	0.071	0.502	1572.667	0.03	0.05	0.739	16
0.0165444	9.24E-09	8.62E-14	6.96E-15	5.63E-14	3.51E-14	2.64E-07	2.44E-09	6.85E-09	3.13E-12	1.07E-12	1.42E-08	6.75E-05	8.84E-06	0.000163698	1.81E-08	1.14E-05	3.82E-06	0.000417543	6.04E-08	1.24E-19	7.78E-14	2.24E-06	4.47E-08	4.66E-06	3.29E-10	5.52E-07	6.08E-06	2.20E-08	0.00141644	1.02E-15	6.02E-08	7.80E-05	0	1.57E-12	0.00166693	116097	2	2	68	40	759	0.070	0.500	1564.666	0.03	0.05	0.736	16
0.0234647	8.99E-09	8.27E-14	6.69E-15	5.44E-14	3.37E-14	2.61E-07	2.39E-09	6.71E-09	3.04E-12	1.05E-12	1.40E-08	6.73E-05	8.76E-06	0.000162617	1.77E-08	1.14E-05	3.79E-06	0.000415792	6.02E-08	1.18E-19	7.50E-14	2.21E-06	4.38E-08	4.64E-06	3.20E-10	5.42E-07	6.02E-06	2.15E-08	0.00140871	9.77E-16	5.87E-08	7.71E-05	0	1.51E-12	0.00165085	117738	2	2	67	40	759	0.070	0.498	1552.260	0.03	0.05	0.731	16
0.0328983	8.70E-09	7.87E-14	6.36E-15	5.21E-14	3.20E-14	2.57E-07	2.33E-09	6.54E-09	2.93E-12	1.02E-12	1.37E-08	6.70E-05	8.66E-06	0.000161192	1.72E-08	1.13E-05	3.76E-06	0.000413508	5.99E-08	1.11E-19	7.16E-14	2.18E-06	4.27E-08	4.61E-06	3.08E-10	5.30E-07	5.95E-06	2.08E-08	0.00139848	9.25E-16	5.69E-08	7.59E-05	0	1.44E-12	0.00162896	119728	2	2	67	40	758	0.069	0.496	1534.593	0.03	0.05	0.725	16
0.046728	8.32E-09	7.37E-14	5.96E-15	4.92E-14	2.99E-14	2.52E-07	2.25E-09	6.31E-09	2.78E-12	9.85E-13	1.33E-08	6.68E-05	8.53E-06	0.000159176	1.65E-08	1.13E-05	3.71E-06	0.00041034	5.97E-08	1.02E-19	6.72E-14	2.13E-06	4.12E-08	4.58E-06	2.92E-10	5.13E-07	5.86E-06	1.99E-08	0.00138373	8.58E-16	5.44E-08	7.41E-05	0	1.35E-12	0.00159616	122343	2	2	66	40	756	0.068	0.492	1506.677	0.03	0.05	0.716	16
0.0651319	7.89E-09	6.82E-14	5.52E-15	4.61E-14	2.76E-14	2.47E-07	2.16E-09	6.04E-09	2.60E-12	9.43E-13	1.29E-08	6.67E-05	8.37E-06	0.000156692	1.56E-08	1.12E-05	3.66E-06	0.000406572	5.95E-08	9.29E-20	6.22E-14	2.07E-06	3.94E-08	4.55E-06	2.74E-10	4.92E-07	5.74E-06	1.89E-08	0.00136477	7.85E-16	5.14E-08	7.19E-05	0	1.25E-12	0.00155244	125389	2	2	65	39	752	0.066	0.486	1467.147	0.03	0.05	0.704	16
0.089384	7.43E-09	6.24E-14	5.05E-15	4.29E-14	2.53E-14	2.41E-07	2.05E-09	5.73E-09	2.41E-12	8.97E-13	1.24E-08	6.68E-05	8.20E-06	0.000153775	1.47E-08	1.12E-05	3.60E-06	0.000402435	5.96E-08	8.34E-20	5.68E-14	1.99E-06	3.73E-08	4.52E-06	2.52E-10	4.67E-07	5.61E-06	1.76E-08	0.00134085	7.08E-16	4.78E-08	6.92E-05	0	1.14E-12	0.00149483	128911	2	2	64	39	745	0.065	0.480	1410.935	0.03	0.05	0.690	15
0.127161	6.78E-09	5.45E-14	4.40E-15	3.83E-14	2.20E-14	2.34E-07	1.90E-09	5.26E-09	2.12E-12	8.34E-13	1.17E-08	6.80E-05	7.98E-06	0.000149346	1.31E-08	1.14E-05	3.54E-06	0.000397199	6.09E-08	7.07E-20	4.90E-14	1.86E-06	3.39E-08	4.51E-06	2.20E-10	4.26E-07	5.40E-06	1.56E-08	0.00129912	6.02E-16	4.22E-08	6.45E-05	0	9.76E-13	0.00138912	134733	2	2	61	38	725	0.062	0.468	1295.092	0.03	0.05	0.663	15
