mass C_12 C_13 C_14 N_13 N_14 N_15 O_14 O_15 O_16 O_17 O_18 F_18 Mg_24 Mg_25 Mg_26 Mg_27 Al_26 Al_27 Al_28 Al_29 Al_30 Si_28 Si_29 Si_30 Si_31 Si_32 P_29 P_30 P_31 P_32 P_33 P_34 S_32 S_33 S_34 Ca_40 Ar_44 K_44 Ca_44 Sc_46 Ti_46 Ca_46 K_46 Ar_46 K_47 Ca_47 Ti_47 Sc_47 V_47 K_48 Ca_48 Sc_48 Ti_48 V_48 Ca_49 Sc_49 Ti_49 V_49 Ca_50 Sc_50 Ti_50 V_50
0.00632521 9.669e-09 9.2567e-14 7.455e-15 4.20444e-18 5.98483e-14 3.78134e-14 1.07302e-23 8.6674e-18 6.52599e-08 6.45348e-14 9.6598e-16 2.19036e-18 2.68819e-07 2.52872e-09 7.07468e-09 3.29154e-12 1.11649e-12 1.45967e-08 1.74548e-10 1.09039e-10 0 6.78342e-05 8.96666e-06 0.000165373 8.53049e-08 1.87482e-08 3.91025e-13 9.15409e-10 5.92147e-06 2.28459e-07 4.39632e-07 2.39725e-11 1.15083e-05 3.87198e-06 0.000420275 6.08988e-08 1.35165e-19 8.26888e-14 2.27904e-06 4.62245e-08 4.70064e-06 7.95245e-08 1.55923e-18 0 0 3.45141e-10 6.17255e-06 5.67766e-07 8.6551e-10 0 1.79221e-10 2.28681e-08 0.0014287 5.48269e-08 1.09814e-15 6.25367e-08 7.94853e-05 4.42266e-05 0 1.66432e-12 0.00169142 3.28131e-05
0.0086146 9.55925e-09 9.09122e-14 7.32673e-15 4.11552e-18 5.89245e-14 3.71144e-14 1.04283e-23 8.51036e-18 6.49044e-08 6.35348e-14 9.4852e-16 2.14446e-18 2.67572e-07 2.50764e-09 7.01942e-09 3.25255e-12 1.10589e-12 1.45034e-08 1.72804e-10 1.07794e-10 0 6.77449e-05 8.93522e-06 0.000164981 8.4689e-08 1.85893e-08 3.87933e-13 9.08968e-10 5.90354e-06 2.27044e-07 4.37075e-07 2.37007e-11 1.14892e-05 3.85999e-06 0.000419636 6.0776e-08 1.32241e-19 8.14426e-14 2.26867e-06 4.58536e-08 4.69072e-06 7.8915e-08 1.52643e-18 0 0 3.4121e-10 6.14904e-06 5.63859e-07 8.60897e-10 0 1.77196e-10 2.26523e-08 0.00142577 5.45161e-08 1.07817e-15 6.19548e-08 7.91245e-05 4.41059e-05 0 1.63935e-12 0.00168567 3.26779e-05
0.0119233 9.41611e-09 8.87933e-14 7.16166e-15 4.00365e-18 5.77407e-14 3.62217e-14 1.00579e-23 8.31247e-18 6.44365e-08 6.22497e-14 9.25927e-16 2.08675e-18 2.65904e-07 2.47969e-09 6.94532e-09 3.2008e-12 1.09203e-12 1.43788e-08 1.70494e-10 1.06147e-10 0 6.76253e-05 8.89272e-06 0.000164436 8.38592e-08 1.8375e-08 3.83928e-13 9.00513e-10 5.87937e-06 2.25144e-07 4.33613e-07 2.33411e-11 1.14638e-05 3.84392e-06 0.000418745 6.06196e-08 1.28513e-19 7.98194e-14 2.25466e-06 4.53627e-08 4.67779e-06 7.80957e-08 1.48452e-18 0 0 3.36001e-10 6.11789e-06 5.58643e-07 8.5497e-10 0 1.74503e-10 2.23659e-08 0.00142177 5.41123e-08 1.05234e-15 6.11782e-08 7.86375e-05 4.39466e-05 0 1.60676e-12 0.00167772 3.2498e-05
0.0165444 9.23596e-09 8.6183e-14 6.95714e-15 3.86861e-18 5.62807e-14 3.5125e-14 9.62334e-24 8.0731e-18 6.38425e-08 6.0659e-14 8.97783e-16 2.01711e-18 2.63752e-07 2.44382e-09 6.84904e-09 3.13435e-12 1.07453e-12 1.42179e-08 1.67534e-10 1.04039e-10 0 6.74734e-05 8.8371e-06 0.000163698 8.27735e-08 1.80945e-08 3.78931e-13 8.89793e-10 5.84782e-06 2.22666e-07 4.29058e-07 2.28801e-11 1.14318e-05 3.8231e-06 0.000417543 6.04302e-08 1.23936e-19 7.77737e-14 2.23618e-06 4.47313e-08 4.66155e-06 7.70223e-08 1.43295e-18 0 0 3.29297e-10 6.07783e-06 5.51859e-07 8.47625e-10 0 1.71019e-10 2.19964e-08 0.00141644 5.36043e-08 1.02007e-15 6.01689e-08 7.79956e-05 4.37429e-05 0 1.56556e-12 0.00166693 3.22647e-05
0.0234647 8.99227e-09 8.27399e-14 6.68552e-15 3.69466e-18 5.43517e-14 3.36828e-14 9.08199e-24 7.76397e-18 6.30333e-08 5.85473e-14 8.60223e-16 1.92738e-18 2.60763e-07 2.3942e-09 6.71382e-09 3.04229e-12 1.05077e-12 1.39934e-08 1.63438e-10 1.01128e-10 0 6.72717e-05 8.75864e-06 0.000162617 8.12337e-08 1.7696e-08 3.72252e-13 8.75172e-10 5.80351e-06 2.19169e-07 4.22551e-07 2.22416e-11 1.13892e-05 3.79407e-06 0.000415792 6.01905e-08 1.17917e-19 7.49934e-14 2.20965e-06 4.38499e-08 4.6397e-06 7.54907e-08 1.36492e-18 0 0 3.19939e-10 6.02196e-06 5.42257e-07 8.37855e-10 0 1.66127e-10 2.14786e-08 0.00140871 5.29144e-08 9.76664e-16 5.87421e-08 7.70715e-05 4.34607e-05 0 1.5093e-12 0.00165085 3.19351e-05
0.0328983 8.6979e-09 7.87008e-14 6.36452e-15 3.49578e-18 5.20818e-14 3.19962e-14 8.48536e-24 7.40945e-18 6.20513e-08 5.6049e-14 8.15691e-16 1.82472e-18 2.57056e-07 2.3327e-09 6.5434e-09 2.92822e-12 1.02196e-12 1.37125e-08 1.58361e-10 9.75271e-11 0 6.7044e-05 8.65958e-06 0.000161192 7.92682e-08 1.71869e-08 3.64309e-13 8.57352e-10 5.74786e-06 2.14725e-07 4.14171e-07 2.14488e-11 1.13401e-05 3.75789e-06 0.000413508 5.9932e-08 1.10895e-19 7.16151e-14 2.17512e-06 4.27404e-08 4.61363e-06 7.35158e-08 1.28521e-18 0 0 3.08198e-10 5.95164e-06 5.29968e-07 8.26267e-10 0 1.59952e-10 2.08242e-08 0.00139848 5.20732e-08 9.2468e-16 5.69222e-08 7.58629e-05 4.31089e-05 0 1.44058e-12 0.00162896 3.15134e-05
0.046728 8.31828e-09 7.36576e-14 5.96034e-15 3.25435e-18 4.92364e-14 2.98969e-14 7.78881e-24 6.97789e-18 6.07902e-08 5.28966e-14 7.59563e-16 1.69991e-18 2.52174e-07 2.25108e-09 6.31273e-09 2.77686e-12 9.8466e-13 1.33355e-08 1.51605e-10 9.2753e-11 0 6.68035e-05 8.52639e-06 0.000159176 7.65619e-08 1.64854e-08 3.54317e-13 8.34213e-10 5.67369e-06 2.08645e-07 4.0251e-07 2.0391e-11 1.12849e-05 3.71011e-06 0.00041034 5.96704e-08 1.02196e-19 6.72169e-14 2.12623e-06 4.12289e-08 4.58117e-06 7.07507e-08 1.18596e-18 0 0 2.92313e-10 5.85604e-06 5.12882e-07 8.11711e-10 0 1.51542e-10 1.99292e-08 0.00138373 5.09727e-08 8.58262e-16 5.44067e-08 7.41358e-05 4.2637e-05 0 1.35052e-12 0.00159616 3.09261e-05
0.0651319 7.89166e-09 6.81824e-14 5.51808e-15 2.99927e-18 4.61283e-14 2.76258e-14 7.08053e-24 6.52103e-18 5.93997e-08 4.94297e-14 6.98359e-16 1.56774e-18 2.46633e-07 2.15653e-09 6.04005e-09 2.60228e-12 9.42588e-13 1.28938e-08 1.43752e-10 8.72365e-11 0 6.66558e-05 8.37175e-06 0.000156692 7.32982e-08 1.56409e-08 3.43494e-13 8.08137e-10 5.58888e-06 2.01349e-07 3.88265e-07 1.91606e-11 1.12411e-05 3.65599e-06 0.000406572 5.95149e-08 9.29142e-20 6.22471e-14 2.06505e-06 3.94163e-08 4.54739e-06 6.73498e-08 1.07948e-18 0 0 2.73581e-10 5.74138e-06 4.91913e-07 7.95954e-10 0 1.41578e-10 1.8855e-08 0.00136477 4.97099e-08 7.85128e-16 5.13614e-08 7.19442e-05 4.20811e-05 0 1.24818e-12 0.00155244 3.01999e-05
0.089384 7.43092e-09 6.24475e-14 5.05109e-15 2.73902e-18 4.2856e-14 2.52543e-14 6.38186e-24 6.05663e-18 5.79886e-08 4.57484e-14 6.34204e-16 1.43245e-18 2.40801e-07 2.05134e-09 5.72902e-09 2.40826e-12 8.97255e-13 1.23974e-08 1.34928e-10 8.10775e-11 0 6.67783e-05 8.20385e-06 0.000153775 6.94808e-08 1.46551e-08 3.32622e-13 7.80361e-10 5.49974e-06 1.92868e-07 3.71357e-07 1.77767e-11 1.12364e-05 3.59993e-06 0.000402435 5.96387e-08 8.34104e-20 5.68342e-14 1.99006e-06 3.72985e-08 4.51847e-06 6.32779e-08 9.69894e-19 0 0 2.52247e-10 5.60861e-06 4.66783e-07 7.80395e-10 0 1.30199e-10 1.76024e-08 0.00134085 4.83267e-08 7.08014e-16 4.77854e-08 6.92103e-05 4.14585e-05 0 1.13639e-12 0.00149483 2.93203e-05
0.127161 6.77658e-09 5.44878e-14 4.39696e-15 2.38814e-18 3.8307e-14 2.1974e-14 5.46921e-24 5.44443e-18 5.63778e-08 4.05598e-14 5.45497e-16 1.24902e-18 2.33623e-07 1.89713e-09 5.25557e-09 2.1215e-12 8.3408e-13 1.16652e-08 1.21664e-10 7.18976e-11 0 6.80192e-05 7.98449e-06 0.000149346 6.3457e-08 1.31071e-08 3.20079e-13 7.43492e-10 5.39445e-06 1.79611e-07 3.44167e-07 1.56966e-11 1.13904e-05 3.5361e-06 0.000397199 6.08536e-08 7.06768e-20 4.90398e-14 1.86388e-06 3.39437e-08 4.50788e-06 5.66875e-08 8.22369e-19 0 0 2.19969e-10 5.40448e-06 4.25734e-07 7.63911e-10 0 1.13012e-10 1.56372e-08 0.00129912 4.63807e-08 6.01883e-16 4.21595e-08 6.44983e-05 4.05712e-05 0 9.75816e-13 0.00138912 2.78565e-05
